timestamps,TP9,FP1,FP2,TP10,n/a,n/a
1509076511.538,923.108,827.494,860.256,912.005,0.000,0.000
1509076511.538,929.551,824.752,859.982,914.198,0.000,0.000
1509076511.538,892.059,822.833,854.773,883.012,0.000,0.000
1509076511.538,843.669,813.991,846.068,828.933,0.000,0.000
1509076511.538,794.183,804.395,837.158,788.083,0.000,0.000
1509076511.538,773.895,804.464,832.086,778.761,0.000,0.000
1509076511.549,787.466,808.371,832.154,793.497,0.000,0.000
1509076511.549,820.023,814.265,834.142,817.898,0.000,0.000
1509076511.549,853.813,822.901,841.339,854.430,0.000,0.000
1509076511.549,890.688,831.812,852.305,886.302,0.000,0.000
1509076511.549,929.688,836.061,860.051,912.964,0.000,0.000
1509076511.549,926.535,838.666,861.833,908.235,0.000,0.000
1509076511.549,882.669,837.089,856.144,874.033,0.000,0.000
1509076511.568,834.759,835.033,844.560,822.147,0.000,0.000
1509076511.568,791.167,827.836,836.267,783.902,0.000,0.000
1509076511.568,780.543,820.845,828.316,784.381,0.000,0.000
1509076511.568,787.329,821.393,832.154,793.086,0.000,0.000
1509076511.568,814.608,823.107,838.940,814.814,0.000,0.000
1509076511.568,843.258,828.796,850.866,852.031,0.000,0.000
1509076511.568,892.882,830.989,851.552,898.159,0.000,0.000
1509076511.568,933.663,829.961,857.309,926.946,0.000,0.000
1509076511.568,931.744,829.207,860.599,922.080,0.000,0.000
1509076511.584,888.906,825.163,855.047,888.975,0.000,0.000
1509076511.584,835.239,822.490,844.218,832.771,0.000,0.000
1509076511.584,793.909,810.016,833.525,796.924,0.000,0.000
1509076511.584,775.608,798.775,829.755,785.135,0.000,0.000
1509076511.584,790.619,801.859,830.715,797.336,0.000,0.000
1509076511.584,815.225,815.636,835.924,815.499,0.000,0.000
1509076511.584,849.153,826.260,843.943,856.555,0.000,0.000
1509076511.584,893.361,829.413,853.265,893.978,0.000,0.000
1509076511.600,931.127,832.292,858.680,913.170,0.000,0.000
1509076511.600,930.168,835.993,859.365,902.820,0.000,0.000
1509076511.600,893.430,833.320,853.402,871.840,0.000,0.000
1509076511.600,841.133,830.098,843.327,820.503,0.000,0.000
1509076511.600,794.937,825.780,832.977,786.164,0.000,0.000
1509076511.600,775.882,822.559,828.111,780.406,0.000,0.000
1509076511.600,787.671,820.365,827.357,797.678,0.000,0.000
1509076511.600,805.561,820.914,834.279,815.088,0.000,0.000
1509076511.600,835.581,821.942,848.193,845.451,0.000,0.000
1509076511.615,886.507,826.397,854.773,887.467,0.000,0.000
1509076511.615,931.333,832.497,861.490,921.052,0.000,0.000
1509076511.615,933.801,829.824,861.284,919.681,0.000,0.000
1509076511.615,894.938,828.316,855.390,878.762,0.000,0.000
1509076511.615,833.936,825.369,847.782,814.060,0.000,0.000
1509076511.615,789.659,816.596,838.049,783.970,0.000,0.000
1509076511.615,776.499,810.633,833.799,784.998,0.000,0.000
1509076511.635,789.659,809.810,835.239,799.460,0.000,0.000
1509076511.635,820.160,814.128,838.597,821.393,0.000,0.000
1509076511.635,860.051,811.112,844.560,869.646,0.000,0.000
1509076511.635,897.817,812.620,854.499,898.913,0.000,0.000
1509076511.635,933.595,822.696,862.381,922.217,0.000,0.000
1509076511.635,927.221,834.622,865.397,912.210,0.000,0.000
1509076511.635,886.781,838.940,857.446,875.061,0.000,0.000
1509076511.635,836.198,834.896,842.093,821.599,0.000,0.000
1509076511.635,794.114,827.699,832.771,788.357,0.000,0.000
1509076511.635,782.257,822.764,830.509,786.506,0.000,0.000
1509076511.649,793.360,823.450,831.743,795.965,0.000,0.000
1509076511.649,816.664,826.328,837.706,819.474,0.000,0.000
1509076511.649,853.813,824.615,843.532,868.550,0.000,0.000
1509076511.649,898.091,829.824,854.293,895.623,0.000,0.000
1509076511.649,935.034,836.747,861.764,918.721,0.000,0.000
1509076511.649,922.697,832.840,864.232,909.469,0.000,0.000
1509076511.649,878.351,829.893,858.474,878.899,0.000,0.000
1509076511.668,833.388,824.067,847.028,828.042,0.000,0.000
1509076511.668,793.155,818.926,836.404,791.373,0.000,0.000
1509076511.668,781.366,818.995,832.154,794.457,0.000,0.000
1509076511.668,792.606,822.147,833.936,801.448,0.000,0.000
1509076511.668,826.191,823.861,840.242,820.160,0.000,0.000
1509076511.668,860.667,826.466,851.826,852.717,0.000,0.000
1509076511.668,913.170,831.812,856.075,897.542,0.000,0.000
1509076511.668,945.041,832.840,865.739,921.806,0.000,0.000
1509076511.668,929.825,832.497,868.481,908.098,0.000,0.000
1509076511.683,881.024,830.098,862.381,868.275,0.000,0.000
1509076511.683,823.861,819.269,846.000,811.592,0.000,0.000
1509076511.683,786.095,813.785,834.211,784.107,0.000,0.000
1509076511.683,769.440,812.826,833.045,779.721,0.000,0.000
1509076511.683,779.858,814.402,833.114,790.413,0.000,0.000
1509076511.683,801.654,817.692,841.407,808.439,0.000,0.000
1509076511.683,838.597,823.998,849.084,845.246,0.000,0.000
1509076511.683,887.741,829.618,856.212,881.915,0.000,0.000
1509076511.700,930.168,835.993,863.752,909.606,0.000,0.000
1509076511.700,918.310,833.045,866.014,904.054,0.000,0.000
1509076511.700,878.694,825.575,858.543,878.008,0.000,0.000
1509076511.700,820.777,821.256,845.657,818.172,0.000,0.000
1509076511.700,768.686,817.487,839.283,773.621,0.000,0.000
1509076511.700,755.389,817.144,838.255,770.399,0.000,0.000
1509076511.700,778.555,815.225,836.541,794.937,0.000,0.000
1509076511.700,813.032,815.636,839.625,821.119,0.000,0.000
1509076511.700,846.617,820.297,847.439,858.063,0.000,0.000
1509076511.715,891.922,826.466,856.349,893.978,0.000,0.000
1509076511.715,931.470,833.251,864.232,916.528,0.000,0.000
1509076511.715,927.358,830.372,862.381,909.948,0.000,0.000
1509076511.715,882.532,824.683,856.486,869.098,0.000,0.000
1509076511.715,824.341,816.870,847.782,807.343,0.000,0.000
1509076511.715,785.958,807.480,839.557,785.204,0.000,0.000
1509076511.715,773.621,808.097,836.267,792.195,0.000,0.000
1509076511.734,788.768,808.851,838.803,804.121,0.000,0.000
1509076511.734,821.736,810.838,844.972,821.393,0.000,0.000
1509076511.734,859.091,809.673,850.318,865.054,0.000,0.000
1509076511.734,894.869,822.147,861.147,898.228,0.000,0.000
1509076511.734,928.112,827.631,868.344,922.903,0.000,0.000
1509076511.734,912.073,831.949,872.525,904.122,0.000,0.000
1509076511.734,876.569,832.634,865.260,871.703,0.000,0.000
1509076511.734,829.413,830.852,851.894,817.692,0.000,0.000
1509076511.734,786.164,825.163,840.654,785.204,0.000,0.000
1509076511.734,773.483,820.023,836.198,784.313,0.000,0.000
1509076511.749,789.042,817.487,837.706,797.747,0.000,0.000
1509076511.749,820.434,819.749,843.806,829.824,0.000,0.000
1509076511.749,857.172,822.901,849.975,870.126,0.000,0.000
1509076511.749,899.530,829.824,860.256,899.736,0.000,0.000
1509076511.749,931.950,833.183,870.811,917.556,0.000,0.000
1509076511.749,925.233,828.796,871.565,909.537,0.000,0.000
1509076511.749,878.419,822.422,862.587,873.073,0.000,0.000
1509076511.768,824.478,819.886,851.552,818.652,0.000,0.000
1509076511.768,783.079,816.596,844.834,789.042,0.000,0.000
1509076511.768,777.253,811.112,839.214,798.021,0.000,0.000
1509076511.768,789.111,814.334,839.625,805.698,0.000,0.000
1509076511.768,819.543,820.365,845.246,828.933,0.000,0.000
1509076511.768,846.479,818.583,857.583,859.845,0.000,0.000
1509076511.768,893.156,818.857,862.792,904.945,0.000,0.000
1509076511.768,929.551,824.683,868.961,927.289,0.000,0.000
1509076511.768,922.286,830.441,868.550,918.790,0.000,0.000
1509076511.783,873.759,826.603,860.256,877.871,0.000,0.000
1509076511.783,818.583,823.724,846.822,817.692,0.000,0.000
1509076511.783,780.886,820.640,836.541,789.796,0.000,0.000
1509076511.783,767.932,819.886,834.965,786.438,0.000,0.000
1509076511.783,782.257,822.559,836.541,801.585,0.000,0.000
1509076511.783,809.467,825.506,842.915,820.434,0.000,0.000
1509076511.783,845.314,823.792,849.906,860.256,0.000,0.000
1509076511.783,889.249,824.821,857.446,894.115,0.000,0.000
1509076511.800,927.837,829.139,861.490,914.541,0.000,0.000
1509076511.800,922.354,833.799,863.957,907.892,0.000,0.000
1509076511.800,888.975,828.796,856.144,880.064,0.000,0.000
1509076511.800,830.852,822.010,846.068,820.297,0.000,0.000
1509076511.800,779.926,815.842,841.270,775.540,0.000,0.000
1509076511.800,770.605,814.128,839.900,777.253,0.000,0.000
1509076511.800,792.881,817.281,838.666,802.682,0.000,0.000
1509076511.800,820.091,820.982,845.040,830.509,0.000,0.000
1509076511.800,849.495,825.712,852.511,868.001,0.000,0.000
1509076511.814,897.200,835.444,860.393,899.941,0.000,0.000
1509076511.814,932.909,844.766,865.739,920.915,0.000,0.000
1509076511.814,926.124,843.806,862.929,915.432,0.000,0.000
1509076511.814,874.855,834.553,859.434,872.182,0.000,0.000
1509076511.814,814.745,825.232,851.963,809.536,0.000,0.000
1509076511.814,780.269,819.886,841.339,782.051,0.000,0.000
1509076511.814,771.633,816.459,838.871,785.478,0.000,0.000
1509076511.835,781.983,812.963,839.351,800.694,0.000,0.000
1509076511.835,814.471,812.689,843.532,830.509,0.000,0.000
1509076511.835,849.153,814.882,850.660,872.182,0.000,0.000
1509076511.835,890.209,822.147,860.325,903.368,0.000,0.000
1509076511.835,916.802,834.074,872.731,915.089,0.000,0.000
1509076511.835,908.577,835.307,872.182,903.711,0.000,0.000
1509076511.835,872.662,825.369,861.970,876.980,0.000,0.000
1509076511.835,820.914,819.954,851.620,824.272,0.000,0.000
1509076511.835,781.297,815.705,840.791,789.453,0.000,0.000
1509076511.835,774.854,816.527,838.529,783.696,0.000,0.000
1509076511.849,790.550,818.035,838.323,789.933,0.000,0.000
1509076511.849,811.661,823.450,840.654,816.047,0.000,0.000
1509076511.849,848.124,824.752,847.782,867.316,0.000,0.000
1509076511.849,890.757,827.219,859.434,899.804,0.000,0.000
1509076511.849,921.258,826.123,866.493,909.674,0.000,0.000
1509076511.849,912.347,827.014,864.643,897.200,0.000,0.000
1509076511.849,871.223,822.353,855.801,858.748,0.000,0.000
1509076511.868,821.188,818.172,844.903,807.754,0.000,0.000
1509076511.868,780.200,813.374,835.787,774.923,0.000,0.000
1509076511.868,773.826,812.963,831.332,777.939,0.000,0.000
1509076511.868,786.643,816.870,832.017,783.970,0.000,0.000
